n,ngram,support,errors,error_rate
2,nn,69,45,0.6521739130434783
2,eh,69,43,0.6231884057971014
2,we,69,37,0.5362318840579711
2,lt,69,46,0.6666666666666666
2,ny,68,49,0.7205882352941176
2,ty,68,44,0.6470588235294118
2,og,67,41,0.6119402985074627
2,ly,64,56,0.875
2,nj,64,38,0.59375
2,ij,63,41,0.6507936507936508
2,oc,63,38,0.6031746031746031
2,eb,63,41,0.6507936507936508
2,ce,63,50,0.7936507936507936
2,fi,61,46,0.7540983606557377
2,rk,60,38,0.6333333333333333
2,vy,59,31,0.5254237288135594
2,ct,59,37,0.6271186440677966
2,ew,59,34,0.576271186440678
2,ug,58,34,0.5862068965517241
2,af,57,45,0.7894736842105263
2,ju,55,37,0.6727272727272727
2,lu,55,32,0.5818181818181818
2,ck,55,27,0.4909090909090909
2,az,54,49,0.9074074074074074
2,ss,54,40,0.7407407407407407
2,rw,53,39,0.7358490566037735
2,uj,53,33,0.6226415094339622
2,mp,53,43,0.8113207547169812
2,sv,52,41,0.7884615384615384
2,oh,52,30,0.5769230769230769
2,hw,50,23,0.46
2,bl,50,38,0.76
2,mb,50,38,0.76
2,rr,49,34,0.6938775510204082
2,za,49,45,0.9183673469387755
2,ei,49,34,0.6938775510204082
2,jo,48,30,0.625
2,uc,48,29,0.6041666666666666
2,hk,48,27,0.5625
2,fo,48,36,0.75
2,pl,48,35,0.7291666666666666
2,sp,47,28,0.5957446808510638
2,nv,44,31,0.7045454545454546
2,hm,44,27,0.6136363636363636
2,ci,43,29,0.6744186046511628
2,rh,43,34,0.7906976744186046
2,sk,42,23,0.5476190476190477
2,ep,42,26,0.6190476190476191
2,ls,42,27,0.6428571428571429
2,ob,41,34,0.8292682926829268
2,iw,40,26,0.65
2,ej,40,20,0.5
2,rc,40,31,0.775
2,ow,40,32,0.8
2,oj,40,17,0.425
2,ua,40,28,0.7
2,rp,39,22,0.5641025641025641
2,mm,39,22,0.5641025641025641
2,tm,38,12,0.3157894736842105
2,lk,38,23,0.6052631578947368
2,ld,38,26,0.6842105263157895
2,dw,37,20,0.5405405405405406
2,dy,37,27,0.7297297297297297
2,wo,37,23,0.6216216216216216
2,fr,37,24,0.6486486486486487
2,ih,36,21,0.5833333333333334
2,rb,36,26,0.7222222222222222
2,hl,36,20,0.5555555555555556
2,lm,35,22,0.6285714285714286
2,ex,35,21,0.6
2,cr,34,21,0.6176470588235294
2,tn,34,18,0.5294117647058824
2,ue,33,24,0.7272727272727273
2,cl,33,17,0.5151515151515151
2,hv,33,17,0.5151515151515151
2,tl,33,16,0.48484848484848486
2,nh,31,23,0.7419354838709677
2,np,31,24,0.7741935483870968
2,rj,31,24,0.7741935483870968
2,hs,30,21,0.7
2,tk,30,13,0.43333333333333335
2,ov,30,20,0.6666666666666666
2,sc,30,19,0.6333333333333333
2,pp,30,20,0.6666666666666666
2,jy,29,24,0.8275862068965517
2,vr,29,13,0.4482758620689655
2,pt,29,20,0.6896551724137931
2,lp,29,15,0.5172413793103449
2,fe,29,24,0.8275862068965517
2,yi,28,21,0.75
2,rl,28,24,0.8571428571428571
2,nm,27,20,0.7407407407407407
2,kk,26,19,0.7307692307692307
2,sm,26,9,0.34615384615384615
2,mr,25,11,0.44
2,if,25,14,0.56
2,zi,24,18,0.75
2,vo,24,10,0.4166666666666667
2,nw,24,16,0.6666666666666666
2,sy,24,22,0.9166666666666666
2,gn,23,12,0.5217391304347826
2,ds,23,14,0.6086956521739131
2,gl,22,13,0.5909090909090909
2,cu,22,19,0.8636363636363636
2,ff,22,21,0.9545454545454546
2,hp,21,5,0.23809523809523808
2,gd,21,15,0.7142857142857143
2,sn,21,15,0.7142857142857143
2,fl,21,11,0.5238095238095238
2,jn,20,13,0.65
2,hd,20,11,0.55
2,ef,20,17,0.85
2,mk,19,11,0.5789473684210527
2,dv,19,12,0.631578947368421
2,md,19,13,0.6842105263157895
2,oa,19,15,0.7894736842105263
2,qu,19,12,0.631578947368421
2,yn,19,14,0.7368421052631579
2,uh,19,11,0.5789473684210527
2,sl,19,12,0.631578947368421
2,lb,18,17,0.9444444444444444
2,lh,18,14,0.7777777777777778
2,hc,18,10,0.5555555555555556
2,fu,18,10,0.5555555555555556
2,of,18,14,0.7777777777777778
2,ps,18,11,0.6111111111111112
2,ez,18,16,0.8888888888888888
2,mt,17,14,0.8235294117647058
2,cc,17,10,0.5882352941176471
2,oi,17,12,0.7058823529411765
2,gt,17,9,0.5294117647058824
2,ft,17,8,0.47058823529411764
2,dn,17,9,0.5294117647058824
2,mc,17,9,0.5294117647058824
2,pn,17,9,0.5294117647058824
2,ax,17,12,0.7058823529411765
2,iz,17,15,0.8823529411764706
2,ui,17,10,0.5882352941176471
2,mn,16,10,0.625
2,nr,16,10,0.625
2,ms,16,9,0.5625
2,ym,16,14,0.875
2,tw,16,8,0.5
2,ze,16,12,0.75
2,sr,16,10,0.625
2,my,16,7,0.4375
2,eu,16,10,0.625
2,hb,16,9,0.5625
2,dl,16,10,0.625
2,lc,16,11,0.6875
2,nf,16,13,0.8125
2,ln,16,7,0.4375
2,lv,16,8,0.5
2,cs,15,9,0.6
2,nb,15,8,0.5333333333333333
2,dt,15,12,0.8
2,eo,15,13,0.8666666666666667
2,dg,15,12,0.8
2,pd,15,7,0.4666666666666667
2,gs,15,3,0.2
2,ml,15,5,0.3333333333333333
2,uv,14,6,0.42857142857142855
2,oe,14,10,0.7142857142857143
2,bs,14,8,0.5714285714285714
2,by,14,8,0.5714285714285714
2,lw,14,9,0.6428571428571429
2,ky,14,12,0.8571428571428571
2,mh,14,14,1.0
2,bd,14,10,0.7142857142857143
2,kl,14,6,0.42857142857142855
2,gm,13,6,0.46153846153846156
2,ys,13,10,0.7692307692307693
2,wn,13,10,0.7692307692307693
2,mv,13,9,0.6923076923076923
2,lg,13,10,0.7692307692307693
2,ix,13,7,0.5384615384615384
2,xi,13,12,0.9230769230769231
2,uf,13,9,0.6923076923076923
2,tp,13,5,0.38461538461538464
2,qa,13,11,0.8461538461538461
2,pm,13,7,0.5384615384615384
2,jb,13,7,0.5384615384615384
2,xa,13,7,0.5384615384615384
2,wy,12,7,0.5833333333333334
2,mj,12,5,0.4166666666666667
2,pk,12,9,0.75
2,dk,12,6,0.5
2,nz,12,9,0.75
2,vv,12,7,0.5833333333333334
2,yr,12,10,0.8333333333333334
2,rf,12,11,0.9166666666666666
2,zu,12,10,0.8333333333333334
2,vn,11,5,0.45454545454545453
2,yk,11,7,0.6363636363636364
2,gb,11,9,0.8181818181818182
2,dc,11,7,0.6363636363636364
2,gg,11,5,0.45454545454545453
2,sb,11,9,0.8181818181818182
2,oy,11,4,0.36363636363636365
2,mw,10,9,0.9
2,dp,10,2,0.2
2,wr,10,5,0.5
2,zo,10,10,1.0
2,tv,10,9,0.9
2,yt,10,7,0.7
2,db,9,7,0.7777777777777778
2,kw,9,7,0.7777777777777778
2,nl,9,7,0.7777777777777778
2,mg,9,8,0.8888888888888888
2,jj,9,4,0.4444444444444444
2,oz,9,8,0.8888888888888888
2,bb,9,5,0.5555555555555556
2,aq,9,5,0.5555555555555556
2,ii,9,7,0.7777777777777778
2,dm,8,4,0.5
2,kv,8,6,0.75
2,iu,8,5,0.625
2,ox,8,7,0.875
2,yd,8,4,0.5
2,cy,8,8,1.0
2,py,8,7,0.875
2,wp,8,7,0.875
2,wt,8,6,0.75
2,kp,8,5,0.625
2,jr,8,1,0.125
2,jm,8,5,0.625
2,bn,7,5,0.7142857142857143
2,js,7,7,1.0
2,lr,7,5,0.7142857142857143
2,bj,7,7,1.0
2,kd,7,3,0.42857142857142855
2,vs,7,5,0.7142857142857143
2,sd,7,6,0.8571428571428571
2,zb,7,6,0.8571428571428571
2,kn,7,3,0.42857142857142855
2,yl,7,5,0.7142857142857143
2,uz,7,6,0.8571428571428571
2,lf,7,5,0.7142857142857143
2,wl,7,6,0.8571428571428571
2,lj,7,4,0.5714285714285714
